id,bororo
188,"Ure tumugudo pugeje, aroe jeke keje. Ure taiado, taiado (gira sentado no lugar): m m m m m... tui taiado dutabo."
189,"Icare ure turagojedo pugeje, uture pugeje cuku cuku cuku."
190,"Ure tumugudo aroe bure keje pugeje, ure taiado, taiado: m m m m m..."
191,"Ure turagojedo pugeje, uture bororo paru kae: cuku cuku cuku..."
192,"Ure tumugudo pugeje, ure taiado, taiado: m m m m m..."
193,"Ure turagojedo, icare rore taci, cai tudure kodi bororoji pugeje tago tabo: - m m m m m.... Kodo jii... nowu bororo paru kae."
194,"Icare, aregodure paru kae dukeje, Baramere ure tôro kiwuje piji, ure pariko ta ao piji, ure kiogoaro kiwuje kana piji. Ore jeto aroe ao keje."
195,"Icare eragodu akedure, dukejere icare aroe uo aregodure, ure tumugudo tu ewure paru. Icare ere toroe to pui ae: cimo pariko, tuwabo, ere makai."
196,"Icare imadure tabo, akore: - No... no no hu...hu hu!..."
197,"Icare uture tabo toro bato tuwai kae, ure jeto tu tuieda keje."
198,"Dukejere akore: - Aroe Apido imireo. Imire boe ekudure itaguruce (meu suco, meu suor): pagodure, beture, okwabagodure (azedinha)."
199,"Akore: - Poiwo tabore boe ekudumode itaguruce.
Akore: - Iemode cibaiwo (cibae eiwo).
Dukeje icare nowu Umuguio okware, akedure. Mugure mito tu jewu Apido."
200,Icare boe enogwagere ji. Pemegare. Ure boe eegaredo.
201,Boe egore: - Wo! Ema pa? Ikuduia ce!. Boe egore.
202,Nota: Bororo paru; começo do pátio.
203,Bororo uta: cabeceira do pátio (= bororo ao)
204,Egore: - U! Ema rugadu!
205,"Boeco parutore ticare  badojeba ure tugera bu Kaigu ao keje, akore: - Aroeiagu tugera to, tuwure to motoji, ciwo tabo, tumeduia joki, tuge iworo betu, iworo pagudu, iworo oiaku (palmito de akuri) paru tabo."
206,Icare Kaigu akore:
207,"Kodire inagoino, kodire iwadarugodure iedagamage Badojebage Cebegiwuge, Cobugiwuge, tagae toro, tabadure toro, iwadarugodure tagae toro!"
208,"Akore: -Iedagamage, idagamage, pawo aroe erududo, pawo aroedo tugera to, tuwure to motoji, ciwo tabo, tumeduia joki."
209,Boe egore: - M! m!...
210,"Akore: - Kodire inagoino inodowu akae (Baitogogo), akonagodure ai amugudo aiadu paru jituji."
211,"Iocare ere baporogu reko ae. Aregodure. Icare ure tugera tugu baporoguto, ure nowu baporogu akodo jiu... jiu... je."
212,"Du tonaji, iparere iogwarido. Ipare egore: Wa!...(5X) m m m m!"
213,"(Mare boe egokare iparei. Boe egore: “Aroe ekudugodure, aroe ere iogwarido)."
214,"Ícare Kaigu uragodure, icare ure paru ko."
215,Interpretação: Nowu aroe ere tagodo ‘gae’ tudui nowu kado kae dutabo = as almas falam ‘gae’ (alegres) dirigindo-se para a taboca.
216,"Icare ere boe bu tugu kadoto, kidoguru ere tugu to, du tore ere kuje bo to. Cobugiwu okwa akirire meture  kuje bo tada, Cebegiwu okwa bore meture kiogoagiri tada. Cobugiwu ukiga kujagu maere: nabure oiaga awadu, kiogoaro kujagurewu awadu, ciwaboe etoiaga padure kiga paru keje, bokodori inogi padure kiga paru keje. Metuia ukiga okore pui: Nabure aro, kuido aro; bokodori inogi padure, ciwaboe etoiaga padure paru keje. Oino."
217,"Icare aroe etuomagere tore edugodo. Ere enoroe tugu taoto (pariko), ere nowu tore enoroe okodo pui:"
218,"Iwagududoge edugore kidorewu (pintura) corewu, kidorewu kujagurewu  (Nowu kujagurewu, cobugiwu; nowu corewu, cebegiwu)."
219,"Aroroe Cebegiwuge ere Aije atugo tugu pudui; Cobugiwuge ere bakuguma atugo tugu pudui. Cebegiwu, aroeceba atugo; Cobugiwu, kuruguga atugo."
220,"Paiwere orori atugo tugu pudui, ere buke iera atugorogu bu cido (músculo do braço) keje, tugera paru keje."
221,"Bakoro Ecerae ere Itobore atugo tugu pudui, ere Okoge Jorigiare atugo tugu pudui, ere okoge edugo tugu pudui, ere Iturawore atugo tugu pudui."
222,"Kiere Bokuojeba atugo tugu pudui, ere Burekiabeio atugo tugu pudui."
223,"Badojebage ere Koge Bakororo atugo tugu pudui, ere Bakororo atugo tugu pudui."
224,"Boe pemegarewu reo, mare awu boe ekare tawuje pugeje."
225,Boere motudo. Maridoji boere awu tadugo tugu pudui. Kado Rairewuji boere awu tadugo tugu pudui.
226,"U! Boe moturewu reno. Awure ure boe emoduuudo, awure ure boedo boece. (Isto que faz o Bororo ser Bororo)."
227,"Icare nowu etadugo akedure. Icare etuomagere eiado, dukejere icare ekudugodure, egore: - Wa!.... Wa!... (8) m m.m m m m!..."
228,"Icare ere tuiebu nowu tadugo tabo, nowu toroe tabo. Nowu toiogwari tabo, nowu tago tabo."
229,"Oinore egore!... toragudutabo. Nowu aremere egoino toragudutabo tore eroi tadugo tabo duji, tore eroi nowu ciwo tabo duji."
230,"Du inodu kajejere icare ere iogwarido, egore: - Wa!...(8) m m m m m m m m...."
231,"Ere nowu kado roto paci, nowu toroe tabo, nowu tugiga tabo. Du moture, aredu nogwaredu jekai."
232,"Dukejere Nowu Kaigu rakojere woe, tuwaborogu tabo."
